run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,WW_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-09-01,2007-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,5,,,,,,MO_CType3_2007_2154.asc
2,True,fixed,auto,WW_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-09-01,2009-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,1,,,,,,MO_CType3_2009_2154.asc
3,True,fixed,auto,WW_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-09-01,2010-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,1,,,,,,MO_CType3_2010_2154.asc
4,True,fixed,auto,WW_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-09-01,2011-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,1,,,,,,MO_CType3_2011_2154.asc
5,True,fixed,auto,WW_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-09-01,2012-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,1,,,,,,MO_CType3_2012_2154.asc
6,True,fixed,auto,WB_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-09-01,2008-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,1,,,,,,MO_CType4_2008_2154.asc
7,True,fixed,auto,WB_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-09-01,2009-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,2,,,,,,MO_CType4_2009_2154.asc
8,True,fixed,auto,WB_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-09-01,2010-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,2,,,,,,MO_CType4_2010_2154.asc
9,True,fixed,auto,WB_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-09-01,2011-10-01,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,2,,,,,,MO_CType4_2011_2154.asc
10,True,fixed,auto,WB_sfix_hauto,sim_fr.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-09-01,2012-12-31,False,False,True,True,True,False,False,True,False,True,True,False,False,,,1,,historic_runs,2,,,,,,MO_CType4_2012_2154.asc
